
# Surface 0 of 1 surfaces

# Curve title: ""Functions-of-two-variables_contourtmp1.dat""
# Contour 0, label:        3
 4.49398 -4.78007  3 
 4.51094 -4.798  3 
 4.59498 -4.8831  3 
 4.61004 -4.899  3 
 4.69598 -4.986  3 
 4.70925 -5  3 

 1.16099  1.46338  3 
 1.26199  1.40062  3 
 1.30878  1.36299  3 
 1.36299  1.30878  3 
 1.40062  1.26199  3 
 1.46338  1.16099  3 
 1.46399  1.15968  3 
 1.5023  1.05999  3 
 1.52885  0.958988  3 
 1.54477  0.857988  3 
 1.5516  0.756988  3 
 1.55076  0.655988  3 
 1.5436  0.554989  3 
 1.53139  0.453989  3 
 1.5153  0.352989  3 
 1.49644  0.251989  3 
 1.47585  0.150989  3 
 1.46399  0.0951614  3 
 1.45312  0.0499891  3 
 1.42889 -0.0510108  3 
 1.40597 -0.152011  3 
 1.38527 -0.253011  3 
 1.36768 -0.35401  3 
 1.36299 -0.388268  3 
 1.35267 -0.45501  3 
 1.34238 -0.55601  3 
 1.33828 -0.65701  3 
 1.34111 -0.75801  3 
 1.35154 -0.85901  3 
 1.36299 -0.920572  3 
 1.36934 -0.96001  3 
 1.39362 -1.06101  3 
 1.42629 -1.16201  3 
 1.46399 -1.25351  3 
 1.46743 -1.26301  3 
 1.51287 -1.36401  3 
 1.56499 -1.46082  3 
 1.56699 -1.46501  3 
 1.62423 -1.56601  3 
 1.66599 -1.62956  3 
 1.688 -1.66701  3 
 1.7562 -1.76801  3 
 1.76699 -1.78204  3 
 1.8272 -1.86901  3 
 1.86799 -1.92131  3 
 1.90236 -1.97001  3 
 1.96899 -2.05434  3 
 1.98096 -2.07101  3 
 2.06173 -2.17201  3 
 2.06999 -2.18133  3 
 2.14414 -2.27301  3 
 2.17099 -2.30318  3 
 2.22881 -2.37401  3 
 2.27199 -2.42229  3 
 2.3154 -2.47501  3 
 2.37298 -2.5391  3 
 2.40361 -2.57601  3 
 2.47398 -2.654  3 
 2.49322 -2.67701  3 
 2.57498 -2.76728  3 
 2.58402 -2.77801  3 
 2.67584 -2.87901  3 
 2.67598 -2.87916  3 
 2.76801 -2.98  3 
 2.77698 -2.98916  3 
 2.86106 -3.081  3 
 2.87798 -3.09826  3 
 2.95486 -3.182  3 
 2.97898 -3.20659  3 
 3.04933 -3.283  3 
 3.07998 -3.31422  3 
 3.14439 -3.384  3 
 3.18098 -3.42126  3 
 3.23996 -3.485  3 
 3.28198 -3.52776  3 
 3.33599 -3.586  3 
 3.38298 -3.63379  3 
 3.43243 -3.687  3 
 3.48398 -3.7394  3 
 3.52924 -3.788  3 
 3.58498 -3.84464  3 
 3.62637 -3.889  3 
 3.68598 -3.94954  3 
 3.7238 -3.99  3 
 3.78698 -4.05414  3 
 3.82149 -4.091  3 
 3.88798 -4.15848  3 
 3.91942 -4.192  3 
 3.98898 -4.26256  3 
 4.01757 -4.293  3 
 4.08998 -4.36643  3 
 4.11591 -4.394  3 
 4.19098 -4.4701  3 
 4.21444 -4.495  3 
 4.29198 -4.57358  3 
 4.31312 -4.596  3 
 4.39298 -4.6769  3 
 4.41196 -4.697  3 
 4.49398 -4.78007  3 

-5  4.70925  3 
-4.986  4.69598  3 
-4.899  4.61004  3 
-4.8831  4.59498  3 
-4.798  4.51094  3 
-4.78007  4.49398  3 
-4.697  4.41196  3 
-4.6769  4.39298  3 
-4.596  4.31312  3 
-4.57358  4.29198  3 
-4.495  4.21444  3 
-4.4701  4.19098  3 
-4.394  4.11591  3 
-4.36643  4.08998  3 
-4.293  4.01757  3 
-4.26256  3.98898  3 
-4.192  3.91942  3 
-4.15848  3.88798  3 
-4.091  3.82149  3 
-4.05414  3.78698  3 
-3.99  3.7238  3 
-3.94954  3.68598  3 
-3.889  3.62637  3 
-3.84464  3.58498  3 
-3.788  3.52924  3 
-3.7394  3.48398  3 
-3.687  3.43243  3 
-3.63379  3.38298  3 
-3.586  3.33599  3 
-3.52776  3.28198  3 
-3.485  3.23996  3 
-3.42126  3.18098  3 
-3.384  3.14439  3 
-3.31422  3.07998  3 
-3.283  3.04933  3 
-3.20659  2.97898  3 
-3.182  2.95486  3 
-3.09826  2.87798  3 
-3.081  2.86106  3 
-2.98916  2.77698  3 
-2.98  2.76801  3 
-2.87916  2.67598  3 
-2.87901  2.67584  3 
-2.77801  2.58402  3 
-2.76728  2.57498  3 
-2.67701  2.49322  3 
-2.654  2.47398  3 
-2.57601  2.40361  3 
-2.5391  2.37298  3 
-2.47501  2.3154  3 
-2.42229  2.27199  3 
-2.37401  2.22881  3 
-2.30318  2.17099  3 
-2.27301  2.14414  3 
-2.18133  2.06999  3 
-2.17201  2.06173  3 
-2.07101  1.98096  3 
-2.05434  1.96899  3 
-1.97001  1.90236  3 
-1.92131  1.86799  3 
-1.86901  1.8272  3 
-1.78204  1.76699  3 
-1.76801  1.7562  3 
-1.66701  1.688  3 
-1.62956  1.66599  3 
-1.56601  1.62423  3 
-1.46501  1.56699  3 
-1.46082  1.56499  3 
-1.36401  1.51287  3 
-1.26301  1.46743  3 
-1.25351  1.46399  3 
-1.16201  1.42629  3 
-1.06101  1.39362  3 
-0.96001  1.36934  3 
-0.920572  1.36299  3 
-0.85901  1.35154  3 
-0.75801  1.34111  3 
-0.65701  1.33828  3 
-0.55601  1.34238  3 
-0.45501  1.35267  3 
-0.388268  1.36299  3 
-0.35401  1.36768  3 
-0.253011  1.38527  3 
-0.152011  1.40597  3 
-0.0510108  1.42889  3 
 0.0499891  1.45312  3 
 0.0951615  1.46399  3 
 0.150989  1.47585  3 
 0.251989  1.49644  3 
 0.352989  1.5153  3 
 0.453989  1.53139  3 
 0.554989  1.5436  3 
 0.655988  1.55076  3 
 0.756988  1.5516  3 
 0.857988  1.54477  3 
 0.958988  1.52885  3 
 1.05999  1.5023  3 
 1.15968  1.46399  3 
 1.16099  1.46338  3 


# Contour 1, label:      2.5
 4.29198 -4.58225  2.5 
 4.30495 -4.596  2.5 
 4.39298 -4.68518  2.5 
 4.40414 -4.697  2.5 
 4.49398 -4.78799  2.5 
 4.50345 -4.798  2.5 
 4.59498 -4.89068  2.5 
 4.60286 -4.899  2.5 
 4.69598 -4.99326  2.5 
 4.70236 -5  2.5 

 0.958988  1.44102  2.5 
 1.05999  1.4079  2.5 
 1.15477  1.36299  2.5 
 1.16099  1.35936  2.5 
 1.26199  1.28064  2.5 
 1.28064  1.26199  2.5 
 1.35936  1.16099  2.5 
 1.36299  1.15477  2.5 
 1.4079  1.05999  2.5 
 1.44102  0.958988  2.5 
 1.46141  0.857988  2.5 
 1.46399  0.831253  2.5 
 1.46998  0.756988  2.5 
 1.47047  0.655988  2.5 
 1.46459  0.554989  2.5 
 1.46399  0.549477  2.5 
 1.45196  0.453989  2.5 
 1.43476  0.352989  2.5 
 1.41441  0.251989  2.5 
 1.39212  0.150989  2.5 
 1.36903  0.0499891  2.5 
 1.36299  0.0235682  2.5 
 1.34356 -0.0510108  2.5 
 1.3187 -0.152011  2.5 
 1.29648 -0.253011  2.5 
 1.27787 -0.35401  2.5 
 1.26379 -0.45501  2.5 
 1.26199 -0.475566  2.5 
 1.254 -0.55601  2.5 
 1.25105 -0.65701  2.5 
 1.256 -0.75801  2.5 
 1.26199 -0.802076  2.5 
 1.26861 -0.85901  2.5 
 1.28864 -0.96001  2.5 
 1.31745 -1.06101  2.5 
 1.35559 -1.16201  2.5 
 1.36299 -1.17737  2.5 
 1.39897 -1.26301  2.5 
 1.45083 -1.36401  2.5 
 1.46399 -1.38533  2.5 
 1.50733 -1.46501  2.5 
 1.56499 -1.55536  2.5 
 1.57102 -1.56601  2.5 
 1.6377 -1.66701  2.5 
 1.66599 -1.7044  2.5 
 1.70907 -1.76801  2.5 
 1.76699 -1.84334  2.5 
 1.78475 -1.86901  2.5 
 1.86356 -1.97001  2.5 
 1.86799 -1.97507  2.5 
 1.94393 -2.07101  2.5 
 1.96899 -2.0995  2.5 
 2.02703 -2.17201  2.5 
 2.06999 -2.22054  2.5 
 2.11242 -2.27301  2.5 
 2.17099 -2.33883  2.5 
 2.19971 -2.37401  2.5 
 2.27199 -2.45483  2.5 
 2.2886 -2.47501  2.5 
 2.37298 -2.56893  2.5 
 2.37886 -2.57601  2.5 
 2.47001 -2.67701  2.5 
 2.47398 -2.68108  2.5 
 2.56183 -2.77801  2.5 
 2.57498 -2.79145  2.5 
 2.65462 -2.87901  2.5 
 2.67598 -2.90083  2.5 
 2.74824 -2.98  2.5 
 2.77698 -3.00934  2.5 
 2.84259 -3.081  2.5 
 2.87798 -3.1171  2.5 
 2.93757 -3.182  2.5 
 2.97898 -3.22421  2.5 
 3.03311 -3.283  2.5 
 3.07998 -3.33075  2.5 
 3.12914 -3.384  2.5 
 3.18098 -3.43678  2.5 
 3.2256 -3.485  2.5 
 3.28198 -3.54237  2.5 
 3.32244 -3.586  2.5 
 3.38298 -3.64757  2.5 
 3.41963 -3.687  2.5 
 3.48398 -3.75241  2.5 
 3.51712 -3.788  2.5 
 3.58498 -3.85695  2.5 
 3.61489 -3.889  2.5 
 3.68598 -3.9612  2.5 
 3.7129 -3.99  2.5 
 3.78698 -4.06521  2.5 
 3.81113 -4.091  2.5 
 3.88798 -4.16899  2.5 
 3.90956 -4.192  2.5 
 3.98898 -4.27256  2.5 
 4.00818 -4.293  2.5 
 4.08998 -4.37595  2.5 
 4.10696 -4.394  2.5 
 4.19098 -4.47918  2.5 
 4.20589 -4.495  2.5 
 4.29198 -4.58225  2.5 

-5  4.70236  2.5 
-4.99326  4.69598  2.5 
-4.899  4.60286  2.5 
-4.89068  4.59498  2.5 
-4.798  4.50345  2.5 
-4.78799  4.49398  2.5 
-4.697  4.40414  2.5 
-4.68518  4.39298  2.5 
-4.596  4.30495  2.5 
-4.58225  4.29198  2.5 
-4.495  4.20589  2.5 
-4.47918  4.19098  2.5 
-4.394  4.10696  2.5 
-4.37595  4.08998  2.5 
-4.293  4.00818  2.5 
-4.27256  3.98898  2.5 
-4.192  3.90956  2.5 
-4.16899  3.88798  2.5 
-4.091  3.81113  2.5 
-4.06521  3.78698  2.5 
-3.99  3.7129  2.5 
-3.9612  3.68598  2.5 
-3.889  3.61489  2.5 
-3.85695  3.58498  2.5 
-3.788  3.51712  2.5 
-3.75241  3.48398  2.5 
-3.687  3.41963  2.5 
-3.64757  3.38298  2.5 
-3.586  3.32244  2.5 
-3.54237  3.28198  2.5 
-3.485  3.2256  2.5 
-3.43678  3.18098  2.5 
-3.384  3.12914  2.5 
-3.33075  3.07998  2.5 
-3.283  3.03311  2.5 
-3.22421  2.97898  2.5 
-3.182  2.93757  2.5 
-3.1171  2.87798  2.5 
-3.081  2.84259  2.5 
-3.00934  2.77698  2.5 
-2.98  2.74824  2.5 
-2.90083  2.67598  2.5 
-2.87901  2.65462  2.5 
-2.79145  2.57498  2.5 
-2.77801  2.56183  2.5 
-2.68108  2.47398  2.5 
-2.67701  2.47001  2.5 
-2.57601  2.37886  2.5 
-2.56893  2.37298  2.5 
-2.47501  2.2886  2.5 
-2.45483  2.27199  2.5 
-2.37401  2.19971  2.5 
-2.33883  2.17099  2.5 
-2.27301  2.11242  2.5 
-2.22054  2.06999  2.5 
-2.17201  2.02703  2.5 
-2.0995  1.96899  2.5 
-2.07101  1.94393  2.5 
-1.97507  1.86799  2.5 
-1.97001  1.86356  2.5 
-1.86901  1.78475  2.5 
-1.84334  1.76699  2.5 
-1.76801  1.70907  2.5 
-1.7044  1.66599  2.5 
-1.66701  1.6377  2.5 
-1.56601  1.57102  2.5 
-1.55536  1.56499  2.5 
-1.46501  1.50733  2.5 
-1.38533  1.46399  2.5 
-1.36401  1.45083  2.5 
-1.26301  1.39897  2.5 
-1.17737  1.36299  2.5 
-1.16201  1.35559  2.5 
-1.06101  1.31745  2.5 
-0.96001  1.28864  2.5 
-0.85901  1.26861  2.5 
-0.802076  1.26199  2.5 
-0.75801  1.256  2.5 
-0.65701  1.25105  2.5 
-0.55601  1.254  2.5 
-0.475566  1.26199  2.5 
-0.45501  1.26379  2.5 
-0.35401  1.27787  2.5 
-0.253011  1.29648  2.5 
-0.152011  1.3187  2.5 
-0.0510108  1.34356  2.5 
 0.0235682  1.36299  2.5 
 0.0499891  1.36903  2.5 
 0.150989  1.39212  2.5 
 0.251989  1.41441  2.5 
 0.352989  1.43476  2.5 
 0.453989  1.45196  2.5 
 0.549477  1.46399  2.5 
 0.554989  1.46459  2.5 
 0.655988  1.47047  2.5 
 0.756988  1.46998  2.5 
 0.831253  1.46399  2.5 
 0.857988  1.46141  2.5 
 0.958988  1.44102  2.5 


# Contour 2, label:        2
 4.29678 -4.596  2 
 4.39298 -4.69346  2 
 4.39632 -4.697  2 
